episode,timesteps,episode_reward,episode_length,success,collision,out_of_bounds
1,24,-20.369358,3,0,0,1
2,40,-21.873843,5,0,0,1
3,72,-20.89347,9,0,0,1
4,72,-22.526456,6,0,0,1
5,96,-22.631619,12,0,0,1
6,104,-22.420707,4,0,0,1
7,120,-22.803371,10,0,0,1
8,152,-23.074006,19,0,0,1
9,160,-19.625818,7,0,0,1
10,168,-20.918323,6,0,0,1
11,192,-23.105434,24,0,0,1
12,192,-22.12222,24,0,0,1
13,216,-22.542598,8,0,0,1
14,224,-23.571261,28,0,0,1
15,224,-23.090719,19,0,0,1
16,248,-22.102862,10,0,0,1
17,264,-22.008765,6,0,0,1
18,264,-19.340004,13,0,0,1
19,264,-22.66005,9,0,0,1
20,272,-18.297237,6,0,0,1
21,272,-22.98667,22,0,0,1
22,272,-22.626502,6,0,0,1
23,280,-21.247842,4,0,0,1
24,304,-22.506853,5,0,0,1
25,312,-22.266578,5,0,0,1
26,336,-22.662394,18,0,0,1
27,336,-20.523278,9,0,0,1
28,352,-21.426486,6,0,0,1
29,368,-21.528956,11,0,0,1
30,376,-20.723689,14,0,0,1
31,376,-22.430401,8,0,0,1
32,408,-22.445218,9,0,0,1
33,416,-19.765593,5,0,0,1
34,440,-22.876321,11,0,0,1
35,456,-22.145765,11,0,0,1
36,464,-19.705057,24,0,0,1
37,472,-22.701975,25,0,0,1
38,472,-22.212818,12,0,0,1
39,496,-22.353555,11,0,0,1
40,512,-22.359781,12,0,0,1
41,528,-22.012594,7,0,0,1
42,536,-22.377759,5,0,0,1
43,544,-21.354976,10,0,0,1
44,584,-22.363599,16,0,0,1
45,592,-19.544578,7,0,0,1
46,592,-22.362801,10,0,0,1
47,608,-22.323074,10,0,0,1
48,616,-19.915509,35,0,1,0
49,624,-22.131646,4,0,0,1
50,632,-18.974007,5,0,0,1
51,640,-19.099705,4,0,0,1
52,648,-22.393553,8,0,0,1
53,656,-20.05566,14,0,0,1
54,672,-21.897861,5,0,0,1
55,696,-22.35239,7,0,0,1
56,704,-16.533743,11,0,0,1
57,712,-22.156181,11,0,0,1
58,720,-19.517672,35,0,1,0
59,728,-19.743053,9,0,0,1
60,736,-22.11771,4,0,0,1
61,744,-22.228586,12,0,0,1
62,760,-18.402868,11,0,0,1
63,776,-22.349478,4,0,0,1
64,800,-22.198669,8,0,0,1
65,808,-22.048879,6,0,0,1
66,816,-22.428772,13,0,0,1
67,832,-19.478533,7,0,0,1
68,848,-22.454219,6,0,0,1
69,872,-22.506853,5,0,0,1
70,888,-22.744905,21,0,0,1
71,920,-22.248098,9,0,0,1
72,936,-22.647459,16,0,0,1
73,936,-21.202025,30,0,0,1
74,952,-23.172724,17,0,0,1
75,968,-24.264694,62,0,0,1
76,976,-22.644101,11,0,0,1
77,976,-20.369358,3,0,0,1
78,992,-22.563051,9,0,0,1
79,1000,-22.663314,8,0,0,1
80,1008,-23.147714,9,0,0,1
81,1016,-23.466206,36,0,0,1
82,1032,-22.12335,5,0,0,1
