episode,timesteps,episode_reward,episode_length,success,collision,out_of_bounds
1,16,-22.083319,8,0,0,1
2,36,-22.736319,18,0,0,1
3,42,-22.796867,13,0,0,1
4,52,-21.986312,5,0,0,1
5,84,-24.685166,24,0,0,1
6,86,-22.852867,17,0,0,1
7,94,-21.968624,5,0,0,1
8,126,-23.221351,20,0,0,1
9,142,-22.50685,8,0,0,1
10,148,-22.891142,27,0,0,1
11,156,-20.104759,4,0,0,1
12,176,-23.416608,17,0,0,1
13,186,-16.792663,15,0,0,1
14,218,-22.472557,16,0,0,1
15,236,-22.142115,9,0,0,1
16,240,-23.272423,32,0,0,1
17,250,-21.933831,7,0,0,1
18,260,-22.275023,10,0,0,1
19,270,-22.153989,5,0,0,1
20,286,-21.491531,8,0,0,1
21,306,-23.021257,28,0,0,1
22,322,-18.455027,8,0,0,1
23,336,-22.468837,7,0,0,1
24,338,-23.245167,26,0,0,1
25,356,-21.616016,10,0,0,1
26,366,-22.185351,5,0,0,1
27,380,-23.226836,21,0,0,1
28,392,-19.076854,13,0,0,1
29,404,-22.116898,6,0,0,1
30,464,-23.129385,30,0,0,1
31,468,-19.079899,44,0,1,0
32,494,-22.773305,15,0,0,1
33,504,-19.247642,5,0,0,1
34,516,-22.750486,24,0,0,1
35,520,-22.437432,8,0,0,1
36,532,-22.161365,6,0,0,1
37,536,-21.66572,10,0,0,1
38,564,-22.57311,16,0,0,1
39,582,-22.51198,23,0,0,1
40,594,-17.916313,6,0,0,1
41,602,-20.001468,19,0,0,1
42,610,-22.053319,8,0,0,1
43,622,-21.523224,10,0,0,1
44,640,-23.043661,15,0,0,1
45,650,-18.997557,5,0,0,1
46,660,-19.263121,19,0,0,1
47,690,-22.436412,15,0,0,1
48,692,-23.144223,21,0,0,1
49,712,-22.131498,10,0,0,1
50,732,-23.04968,21,0,0,1
51,736,-22.641425,12,0,0,1
52,750,-20.672625,9,0,0,1
53,750,-22.11511,7,0,0,1
54,764,-22.064202,7,0,0,1
55,802,-21.932152,26,0,0,1
56,806,-22.848821,21,0,0,1
57,828,-22.18733,11,0,0,1
58,840,-22.335973,6,0,0,1
59,852,-21.98802,6,0,0,1
60,866,-19.529428,7,0,0,1
61,874,-20.836569,4,0,0,1
62,886,-26.540485,42,0,0,1
63,888,-19.572428,7,0,0,1
64,910,-22.205235,11,0,0,1
65,918,-20.36859,16,0,0,1
66,938,-21.750747,14,0,0,1
67,938,-22.353243,10,0,0,1
68,982,-23.382106,22,0,0,1
69,1002,-21.350713,32,0,0,1
70,1008,-22.28508,13,0,0,1
71,1024,-22.011492,8,0,0,1
72,1038,-22.555333,18,0,0,1
73,1058,-22.332554,10,0,0,1
74,1064,-22.738186,20,0,0,1
75,1076,-22.766056,6,0,0,1
76,1092,-19.898289,8,0,0,1
77,1092,-21.601235,17,0,0,1
78,1118,-22.480995,13,0,0,1
79,1162,-23.962797,35,0,0,1
80,1170,-19.540078,4,0,0,1
81,1196,-24.274377,39,0,0,1
82,1202,-21.697769,16,0,0,1
83,1212,-20.684851,8,0,0,1
84,1242,-23.96052,15,0,0,1
85,1250,-19.827808,4,0,0,1
86,1258,-21.997001,4,0,0,1
87,1260,-23.292588,29,0,0,1
88,1268,-21.932784,4,0,0,1
89,1276,-22.644664,9,0,0,1
90,1276,-21.918987,4,0,0,1
91,1288,-22.041667,6,0,0,1
92,1290,-21.968328,7,0,0,1
93,1302,-22.27409,7,0,0,1
94,1308,-22.053132,9,0,0,1
95,1316,-22.269711,4,0,0,1
96,1326,-19.926477,12,0,0,1
97,1350,-18.04532,12,0,0,1
98,1368,-21.472356,9,0,0,1
99,1372,-22.808324,28,0,0,1
100,1400,-22.4826,16,0,0,1
101,1402,-20.836919,15,0,0,1
102,1410,-19.559706,5,0,0,1
103,1420,-21.361515,5,0,0,1
104,1428,-22.59332,13,0,0,1
105,1430,-21.988463,5,0,0,1
106,1450,-22.144996,10,0,0,1
107,1450,-22.675235,11,0,0,1
108,1462,-20.410537,6,0,0,1
109,1488,-17.261684,13,0,0,1
110,1494,-22.6245,22,0,0,1
111,1502,-22.445813,4,0,0,1
112,1514,-19.568671,6,0,0,1
113,1534,-23.14994,23,0,0,1
114,1542,-22.349478,4,0,0,1
115,1546,-22.519021,16,0,0,1
116,1552,-22.037001,5,0,0,1
117,1554,-22.349478,4,0,0,1
118,1576,-22.419983,12,0,0,1
119,1578,-22.304017,12,0,0,1
120,1594,-22.501872,8,0,0,1
121,1600,-20.369358,3,0,0,1
122,1604,-22.28641,14,0,0,1
123,1616,-21.967525,6,0,0,1
124,1626,-22.350562,13,0,0,1
125,1638,-22.396576,6,0,0,1
126,1656,-22.100535,9,0,0,1
127,1694,-23.112775,19,0,0,1
128,1702,-22.525313,4,0,0,1
129,1732,-16.627473,58,0,1,0
130,1742,-22.288623,5,0,0,1
131,1774,-23.242683,36,0,0,1
132,1786,-22.627199,22,0,0,1
133,1834,-18.257993,30,0,0,1
134,1842,-22.349478,4,0,0,1
135,1852,-23.40215,33,0,0,1
136,1866,-22.030492,7,0,0,1
137,1872,-18.401481,15,0,0,1
138,1886,-22.028791,7,0,0,1
139,1926,-22.503142,20,0,0,1
140,1932,-20.369358,3,0,0,1
141,1946,-22.052119,7,0,0,1
142,1958,-20.802795,6,0,0,1
143,1974,-22.010749,8,0,0,1
144,1998,-24.97324,66,0,0,1
145,2004,-22.288492,15,0,0,1
146,2024,-18.831144,13,0,0,1
147,2028,-22.940424,12,0,0,1
148,2046,-20.642349,9,0,0,1
